SITENO,dam_count,min_NID,max_NID,TOT_POPDENS90,TOT_POPDENS00,TOT_POPDENS10,TOT_FRESHWATER_WD,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1780,TOT_S1820,TOT_TOTAL_ROAD_DENS,TOT_RDX,GAGESII_class,WR_report_remarks,ADR_citation,Screening_comments
12056500,NA,NA,NA,0,0,0,2,0,0,0.13,0,0,0.01,0,0,0,0,0,0,0.14,5,Ref,No regulation or diversion upstream from station.,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12056500.2002.sw.pdf,Wilderness-Olympic Nat Park
12073500,NA,NA,NA,59.96,81.25,114.61,8.42,0,0,2.4,0,0,0,0,0,0,0.05,0,0,2.46,7,Ref,No regulation or diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/12073500.2006.pdf,"scattered farms, much forest, NEoA"
12082500,NA,NA,NA,1.66,2.16,1.9,8.68,0,0.05,1,0,0,0,0,0,0,0.02,0,0,1.07,94,Ref,Small diversions for domestic use,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12082500.2002.sw.pdf,"possible domestic diversions, roadless HW, glacial"
12092000,NA,NA,NA,0,0,0,15.74,0,0.04,0.86,0,0,0,0,0,0,0,0,0,0.91,35,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12092000.2002.sw.pdf,"local roads & logging, Mt Rainier HW"
12095000,NA,NA,NA,36.58,50.03,51.58,15.74,0,0.08,1.61,0.02,0,0,0.02,0,0,0.01,0,0,1.74,68,Ref,"Diversion of 2.1 ft³/s, 9.7 mi upstream, by City of Buckley for municipal use. Unused water, 1.5 ft³/s or less is returned 1.5 mi upstream.",http://wdr.water.usgs.gov/wy2007/pdfs/12095000.2007.pdf,"prox lt develpment, possible municipal diversions, forested/logged hw"
12098500,4,68,106000,0.49,0.32,0.34,16.75,0,0.06,1.33,0.01,0,0,0,0,0,0,0,0,1.4,345,Ref,,http://wdr.water.usgs.gov/wy2007/pdfs/02030500.2007.pdf,"mixed forest & mod ag, small impoundments on some tribs, NEoA"
12114500,NA,NA,NA,0,0,0,21.89,0,0,2.22,0,0,0,0,0,0,0.02,0,0,2.24,45,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12114500.2002.sw.pdf,forest roads & logging
12115000,NA,NA,NA,0,0,0,21.95,0,0,2.24,0,0,0,0,0,0,0.01,0,0,2.26,56,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12115000.2002.sw.pdf,forest roads & logging
12115500,NA,NA,NA,0,0,0,22.03,0,0,2.6,0,0,0,0,0,0,0,0,0,2.6,15,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12115500.2002.sw.pdf,some roads & logging
12117000,NA,NA,NA,0,0,0.02,22.03,0,0,2.72,0,0,0,0,0,0,0,0,0,2.72,20,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12117000.2002.sw.pdf,some roads & logging
