SITENO,YR,MNTH,RX1day,RX5day
01022500,1995,12,15.87,28.99
01022500,1996,1,23.69,48.11
01022500,1996,2,13.67,43.38
01022500,1996,3,17.85,33.77
01022500,1996,4,31.73,74.32
01022500,1996,5,26.4,48.62
01022500,1996,6,20.34,61.31
01022500,1996,7,50.26,93.36
01022500,1996,8,11.94,13.44
01022500,1996,9,39.66,84.86
01022500,1996,10,24.43,35.4
01022500,1996,11,21.28,31.5
01022500,1996,12,33,57.34
01022500,1997,1,21.93,63.8
01022500,1997,2,17.4,28.23
01022500,1997,3,23.26,32.71
01022500,1997,4,27.51,34.6
01022500,1997,5,26.84,48.09
01022500,1997,6,17.19,44.65
01022500,1997,7,20.13,37.98
01022500,1997,8,14.34,23.73
01022500,1997,9,12.49,24.07
01022500,1997,10,13.58,28.77
01022500,1997,11,28.43,53.08
01022500,1997,12,20.04,36.79
01022500,1998,1,67.64,100.91
01022500,1998,2,33.71,60.7
01022500,1998,3,51.16,78.93
01022500,1998,4,16.95,48.84
01022500,1998,5,18.46,31.53
01022500,1998,6,35.41,60.38
01022500,1998,7,9.89,20.79
01022500,1998,8,12.64,16.96
01022500,1998,9,12.47,28.01
01022500,1998,10,34.29,70.44
01022500,1998,11,25.4,29.63
01022500,1998,12,14.18,31.5
01022500,1999,1,33.2,69.39
01022500,1999,2,32.31,52.29
01022500,1999,3,31.57,44.5
01022500,1999,4,6.31,10.1
01022500,1999,5,24.49,43.33
01022500,1999,6,17.7,34.54
01022500,1999,7,14.69,29.41
01022500,1999,8,31.75,38.18
01022500,1999,9,58.19,106.25
01022500,1999,10,29.34,46.89
01022500,1999,11,42.24,44.26
01022500,1999,12,51.68,79.35
01022500,2000,1,24.68,34.65
01022500,2000,2,38.68,57.62
01022500,2000,3,35.04,42.5
01022500,2000,4,46.29,94.35
01022500,2000,5,17.78,45.44
01022500,2000,6,14.55,30.26
01022500,2000,7,22.25,41.79
01022500,2000,8,13.16,21.7
01022500,2000,9,16.07,29.25
01022500,2000,10,17.98,42.17
01022500,2000,11,30.68,43.22
01022500,2000,12,28.67,62.96
01022500,2001,1,13.68,25.53
01022500,2001,2,21.39,38.55
01022500,2001,3,26.41,44.49
01022500,2001,4,10.23,14.15
01022500,2001,5,9.87,19.69
01022500,2001,6,18.29,34.84
01022500,2001,7,10.96,25.99
01022500,2001,8,6.82,16.38
01022500,2001,9,29.94,51.21
01022500,2001,10,15.88,31.82
01022500,2001,11,13.26,28.1
01022500,2001,12,20.66,32.13
01022500,2002,1,22.92,41.45
01022500,2002,2,32.12,44.46
01022500,2002,3,24.95,63.9
01022500,2002,4,22.72,62.73
01022500,2002,5,16.09,38.38
01022500,2002,6,12.39,33.59
01022500,2002,7,11.16,38.71
01022500,2002,8,7.78,12.61
01022500,2002,9,25.61,44.68
01022500,2002,10,17.03,38.14
01022500,2002,11,30.45,65.29
01022500,2002,12,60.37,80.89
