SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
07315200,36.92,33.32,29.76,95,66.82,95.88,0.8,1.16,44.85,1.5,0.15,6,259.29,7.04,0,0,0,21.41,0,0,39.25,0,39.33,0,0.33,0.32
07315700,41.09,29.7,29.21,97.5,69.15,97.83,0.97,1.34,45.62,1.51,0.16,5.83,87.5,6.81,0,0,0,59.57,0,0,8.8,0,31.63,0,0.35,0.36
07335700,49.05,29.66,21.29,71.41,56.18,74.04,0.49,1.87,38.54,1.49,0.12,5.59,0,5.24,0.39,0,0,36.35,0,0,42.59,0,20.67,0,0.34,0.26
07340000,48.08,28.67,23.25,76.34,58.26,78.79,0.55,1.77,43.27,1.49,0.13,5,12.23,5.28,0.56,0,0,36.06,0,0,37.93,0,25.45,0,0.34,0.27
07340300,56.61,28.21,15.18,59.94,50.49,62.86,0.46,1.85,40.88,1.49,0.11,5.93,0,5.32,0,0,0,50.01,0,0,34.61,0,15.38,0,0.35,0.26
07346000,34.36,27.84,37.81,94.16,58.59,96.19,0.62,2.05,60,1.5,0.13,4.28,46.94,5.16,8.29,0,0,30.3,0,0,39.92,0,21.49,0,0.29,0.29
07346045,29.67,23.87,46.46,94.51,50.48,96.1,0.63,3.37,60,1.55,0.12,4.83,0.16,5.07,14.14,0,0,49.79,0,0,33.05,0,3.02,0,0.27,0.25
07346050,33.59,25.85,40.56,93.81,55.74,95.79,0.61,2.09,60,1.53,0.13,4.26,0.3,4.98,5.75,0,0,39.59,0,0,49.58,0,5.08,0,0.29,0.29
07346070,33.28,25.88,40.84,93.7,55.41,95.72,0.61,2.13,60,1.53,0.13,4.36,0.58,4.98,6.07,0,0,40.2,0,0,49.22,0,4.52,0,0.29,0.29
07359610,53.68,28.2,18.12,62.49,50.95,65.08,0.46,2.45,41.59,1.49,0.11,5.84,0,5.33,0,0,0,49.15,0,0,34.33,0,16.51,0,0.34,0.26
